QUIT	LÎ-KHUI
Ok	Hó
Delete	San-tiāu
Width	Khoah
Height	Koân
Name	Miâ
Sandbox	Soa-phûn
Tutorial	Kàu-ha̍k
Cancel	Chhú-siau
Map	Tē-tô͘
Clinic	Chin-só͘
Basic	Ki-pún
Hospital	Pēⁿ-īⁿ
Small	Sió
Small	Sè
Game	Géim
Game	Iû-hì
Save	Sèihu
Month	Goe̍h
Week	Lé-pài
Day	Ji̍t
card	khá
management	koán-lí
Open	Phah-khui
warning	kèng-pò
Staff	Jîn-oân
Patient	Hoān-chiá
Bank	Gîn-hâng
loan	tāi-kim
Total	Chóng-hô
All	Choân-pō͘
time	sî-kan
Language	Gí-giân
department	pō͘-mn̂g
Big	Tōa
default	goân-chho͘ ti̍t
Restore	Hoe-ho̍k
Keyboard	Khibò͘
controls	khòng-chè
build	khí-chō
Floor	Thô͘-kha
Door	Mn̂g
Window	Thang
Treat	Tī-liâu
ambulance	kiù-hō͘-chhia
account	kháu-chō
hospitalization	chū-īⁿ
Yesterday	Chăng
Today	Kin-á-ji̍t
Insurance	Pó-hiám
employee	oân-kang
Doctor	I-seng
Nurse	Hō͘-sū
Medium	Tiong-hêng
Free	Chū-iû
Neurology	Sîn-keng-ha̍k
control	khòng-chè
master	tachip-jîn
Hide	Àm-khàm
Hidden	Àm-khàm ê
achievement	si̍t-chek
Internal medicine	Lāi-kho
Orthopaedy	Chéng-hêng gōa-kho
Cardiology	Sim-chōng-kho
Neurology	Sîn-keng-ha̍k
General	It-poaⁿ
General surgery	It-poaⁿ gōa-kho
White	Pe̍h-sek
Black	O͘-sek
Grass	Chháu-á
ceramic tile	hoa-chng
ceramic tile	thài-lù
Glass	Po-lê
WC	Piān-só͘
X-ray	X-kong
Cardiology	Sim-chōng-ha̍k
Elevator	Tiān-thui
Quit	Lî-khui
Quit	Siu-soah
exit	lî-khui
Dead	Óng-seng
Symptom	Chèng-thâu
Examination	Kiám-cha
Treatment	Tī-liâu
Discomfort	Bô-sóng-khoài
Day	Ji̍t-sî
Night	Àm-sî
Rename	kái-miâ
Medium	Tiong
Low	Kē
High	Koân
Room	Pâng-keng
Load	Lo͘
yellow	n̂g-sek
red	âng-sek
green	le̍k-sek
blue	nâ-sek
your	lín
your	lí ê
take care of	chiàu-kò͘
Current	Bo̍k-chêng
diagnosis	chín-toàn
table	pió
No	Boaih
Bed	Chhn̂g
Clinic	Chín-só͘
empty field	khàng-tē
Upload	Aplo͘
workshop	kang-liâu
Unlock	Tháu-pa̍k
option	siat-tēng
emergency clinic	kip-chín
A	Chi̍t-ê
Campaign	Khāpein
diagnosis	chín-toān
diagnosing	chín-toān
Locked	Hō͘ pa̍k khí
Hospitalization	tòa-īⁿ
Hospitalized	ji̍p-īⁿ
breakfast	chai
dinner	àm-tǹg
Wall	Chhiûⁿ-á
Walls	Piah
speed	sok-tō͘
new	sin-ê
Emergency	Kip-chín
Day shift	Ji̍t-pan
Night shift	Iā-pan
Send	Sàng
Hire	Chhiáⁿ
Construction	Kiàn-tiok
floor	lâu-á
Regular ward	It-poaⁿ pēⁿ-pâng
object	bu̍t-phín
company	kong-si
Surgery	Gōa-kho
tech.	ki-su
Operating room	Chhiú-su̍t-pâng
virus	pēⁿ-to̍k
bacteria	sè-khún
janitor	chheng-kiat jîn-oân
Waiting room	Tán-thāi sek
eat	chia̍h-pn̄g
rest	hioh-khùn
High dependency unit	Tiong-tiông-tō͘ pēⁿ-pâng
Coffee	Ka-pi
Trash bin	Pùn-sò tháng
Waiting room	Tán-thāi keng
Hematology	Hoeh-e̍k ha̍k
Hematology	Hiat-e̍k ha̍k
Microbiology	Bî-seng-bu̍t
laboratorie	si̍t-giām-sek
Lab	si̍t-giām-sek
Cardiography	Sim-tiān-tô͘
Fridge	Peng-siuⁿ
Clock	Sî-cheng
Cabinet	Kūi-á
Cabinet	Tû-á
diagnoses	chín-toàn
Possible	Khó-lêng ê
Final diagnosis	Khak-tēng chín-toàn
Final diagnosis	Chín-toàn kiat-kó
Payment	Chi-hut
pain	thiàⁿ
Eye	Ba̍k-chiu
Headache	Thâu-thiàⁿ
Itchy	chiūⁿ
